DCDEBIT20201578,2020-10-02,Sanga,400,,Phone Pe
DCDEBIT20201579,2020-10-05,House Ration,1200,,Phone Pe
DCDEBIT20201580,2020-10-09,14th Chiti,6000,,Cash
DCDEBIT20201581,2020-10-09,Sanga,400,,Phone Pe
DCDEBIT20201582,2020-10-14,Petrol + Chats,260,,Cash
DCDEBIT20201583,2020-10-15,Stove EMI,1580,,Phone Pe
DCDEBIT20201584,2020-10-16,Sanga,400,,Phone Pe
DCDEBIT20201586,2020-10-16,House Electric Bill,584,,Phone Pe
DCDEBIT20201587,2020-10-08,Bike Repair,500,,Cash
DCDEBIT20201588,2020-10-10,Barber Shop,100,,Cash
DCDEBIT20201589,2020-10-11,Daily House Hold,1200,,Cash
DCDEBIT20201590,2020-10-14,Birth Certificate Fee,1000,,Cash
DCDEBIT20201591,2020-10-16,Office Rent,2500,,Cash
DCDEBIT20201592,2020-10-17,Petrol + Tablets + Bonde,395,,Cash
DCDEBIT20201593,2020-10-18,Daily House Hold,100,,Cash
DCDEBIT20201594,2020-10-19,Bike Repair + Petrol ,750,,Phone Pe
DCDEBIT2021122781,2021-04-20,Petrol,200,"Rs. 200/- Spent on Bike  refill petrol , on 2021-04-20 by Cash.",Cash
DCDEBIT20201596,2020-10-19,Office Hardware Expense,170,,Cash
DCDEBIT20201597,2020-10-19,Chakli,14,,Cash
DCDEBIT20201598,2020-10-19,Ammi,100,,Cash
DCDEBIT20201599,2020-10-20,Ammi,100,,Cash
DCDEBIT20201600,2020-10-21,Ration card fee,300,,Cash
DCDEBIT20201601,2020-10-21,Ration card fee,300,,Cash
DCDEBIT20201602,2020-10-21,Nigar,150,,Cash
DCDEBIT20201603,2020-10-22,Ammi,100,,Cash
DCDEBIT20201604,2020-10-22,Nigar,50,,Cash
DCDEBIT20201605,2020-10-22,Sangha,530,,Cash
DCDEBIT20201606,2020-10-22,Aadhar Update Payment Fee,50,,Card
DCDEBIT20201607,2020-10-23,Sanga Area,400,,Phone Pe
DCDEBIT20201608,2020-10-23,Daily House Hold,100,,Cash
DCDEBIT20201609,2020-10-23,Nigar,50,,Cash
DCDEBIT20201610,2020-10-24,Nigar,50,,Cash
DCDEBIT20201611,2020-10-25,Fruit for Phuppu,160,,Cash
DCDEBIT20201612,2020-10-25,Samose + Petrol + Golgappe,180,,Cash
DCDEBIT20201613,2020-10-26,Nigar Returned Amount,-400,,cash
DCDEBIT20201614,2020-10-26,25KG Rice Bag + 10KG Maida,1350,,cash
DCDEBIT20201615,2020-10-26,Daily House Hold,160,,Cash
DCDEBIT20201616,2020-10-27,Mosquito bat,300,,Cash
DCDEBIT20201617,2020-10-27,House Water Bill,206,,Phone Pe
DCDEBIT20201618,2020-10-28,Daily House Hold,150,,Cash
DCDEBIT20201619,2020-10-28,Aadhar Update Payment Fee,50,,Card
DCDEBIT20201620,2020-10-28,Petrol + Chats ,225,,Cash
DCDEBIT2021534121,2021-04-21,Daily House Hold,200,"Rs. 200/- Spent on vatika shampoo, on 2021-04-21 by Cash.",Cash
DCDEBIT20201622,2020-10-30,Daily House Hold,200,,Cash
DCDEBIT20201623,2020-10-30,Gobi,30,,Cash
DCDEBIT20201624,2020-10-30,Aadhar Update Payment Fee,50,,Bank
DCDEBIT20201625,2020-10-31,Aadhar Update Payment Fee,100,,Bank
DCDEBIT20201626,2020-10-31,Loan Tap EMI ,2000,,Phone Pe
DCDEBIT20201627,2020-11-01,Daily House Hold,100,,Cash
DCDEBIT20201628,2020-11-02,Daily House Hold,100,,Cash
DCDEBIT20201629,2020-11-04,Fruit for In Laws,360,,Cash
DCDEBIT20201630,2020-11-05,Daily House Hold,200,,cash
DCDEBIT20201631,2020-11-05,Balance For Api,100,,Cash
DCDEBIT20201632,2020-11-05,Petrol,200,,Cash
DCDEBIT20201633,2020-11-06,IRCTC Registration ,1000,,Phone Pe
DCDEBIT20201635,2020-11-07,Sanga,500,,Cash
DCDEBIT20201636,2020-11-05,House Rent,7500,,cash
DCDEBIT20201637,2020-11-07,Daily House Hold,100,,Cash
DCDEBIT20201638,2020-11-08,Gobi,50,,Cash
DCDEBIT20201639,2020-11-08,Daily House Hold,100,,Cash
DCDEBIT20201640,2020-11-09,Daily House Hold,100,,Cash
DCDEBIT20201641,2020-11-04,Hazrath Walnut EMI,2650,,Phone Pe
DCDEBIT20201642,2020-11-11,E-Stamp Fee,240,,Cash
DCDEBIT20201643,2020-11-11,Notary Fee,150,,Cash
DCDEBIT20201644,2020-11-11,Bike Insurance,1020,,Debit Card
DCDEBIT20201645,2020-11-13,Nigar Personal Exp,500,,Cash
DCDEBIT20201646,2020-11-13,Bus Tickets ,60,,Cash
DCDEBIT20201647,2020-11-13,Bandhan Bank Weekly Loan,530,,Cash
DCDEBIT20201648,2020-11-12,Daily House Hold,200,,Cash
DCDEBIT20201649,2020-11-12,In Laws House Expences,80,,Cash
DCDEBIT20201650,2020-11-15,Daily House Hold,100,,Cash
DCDEBIT20201652,2020-11-15,Bike Expence,100,,Phone Pe
DCDEBIT20201653,2020-11-17,Daily House Hold,100,,Cash
DCDEBIT20201654,2020-11-17,Bus Tickets ,50,,Cash
DCDEBIT20201655,2020-11-17,Nigar Personal Exp,90,,Cash
DCDEBIT20201656,2020-11-17,Office Rent,2500,,Cash
DCDEBIT20201657,2020-11-18,Nigar Personal Exp,100,,Cash
DCDEBIT20201658,2020-11-18,Stove EMI,1580,,Phone Pe
DCDEBIT20201659,2020-11-18,Pan Card Fees,660,,Phone Pe
DCDEBIT20201660,2020-11-19,Daily House Hold,150,,Cash
DCDEBIT20201661,2020-11-19,House Ration,170,,Cash
DCDEBIT20201662,2020-11-12,House Electric Bill,596,,Google Pay
DCDEBIT20201663,2020-11-19,Sanga,400,,Phone Pe
DCDEBIT20201664,2020-11-20,Daily House Hold,100,,Cash
DCDEBIT20201665,2020-11-20,Caste & Income Fee,450,,Phone Pe
DCDEBIT20201666,2020-11-21,Petrol,220,,Cash
DCDEBIT20201667,2020-11-22,In Laws House Expences,310,,Cash
DCDEBIT20201668,2020-11-22,Daily House Hold,130,,Cash
DCDEBIT20201669,2020-11-22,Sumera ,2500,,Cash
DCDEBIT20201670,2020-11-20,Office Electric Bill,919,,Google Pay
DCDEBIT20201671,2020-11-25,Petrol,300,,Cash
DCDEBIT20201672,2020-11-25,Chats and Others,100,,Cash
DCDEBIT20201673,2020-11-25,Daily House Hold,100,,Cash
DCDEBIT20201674,2020-11-25,House Water Bill,350,,Phone Pe
DCDEBIT20201675,2020-11-25,Caste & Income Fee,250,,Google Pay
DCDEBIT20201676,2020-11-26,Daily House Hold,100,,Cash
DCDEBIT20201677,2020-11-26,Nigar Personal Exp,100,,Cash
DCDEBIT20201678,2020-11-26,Notary Fee,50,,Cash
DCDEBIT20201679,2020-11-27,Daily House Hold,140,,Cash
DCDEBIT20201680,2020-11-27,Nigar Personal Exp,100,,Cash
DCDEBIT20201681,2020-11-27,Sanga,400,,Phone Pe
DCDEBIT20201682,2020-11-27,Bandhan Bank Weekly Loan,530,,Cash
DCDEBIT20201683,2020-11-28,Nigar Personal Exp,250,,Cash
DCDEBIT20201684,2020-11-30,Monthly Bus Pass,1150,,Cash
DCDEBIT20201685,2020-11-30,Personal Mis. Exp,200,,Cash
DCDEBIT20201686,2020-12-02,Loan Tap EMI,4057,,Phone Pe
DCDEBIT20201687,2020-12-02,Daily House Hold,150,,Cash
DCDEBIT20201688,2020-12-03,Hazrath Walnut EMI,2640,,Phone Pe
DCDEBIT20201689,2020-12-03,Daily House Hold,100,,Cash
DCDEBIT20201690,2020-12-04,Nigar Personal Exp,100,,Cash
DCDEBIT20201691,2020-12-04,Daily House Hold,140,,Cash
DCDEBIT20201692,2020-12-04,Bandhan Bank Weekly Loan,530,,Cash
DCDEBIT20201693,2020-12-04,Sanga,400,,Phone Pe
DCDEBIT20201694,2020-12-04,Office Stock Purchase,150,,Phone Pe
DCDEBIT20201695,2020-12-04,Pan Card Fees,750,,Phone Pe
DCDEBIT20201696,2020-12-05,Personal Mis. Exp,100,,Cash
DCDEBIT20201697,2020-12-05,Daily House Hold,200,,Cash
DCDEBIT20201698,2020-12-05,Caste & Income Fee,400,,Google Pay
DCDEBIT20201699,2020-12-06,Personal Mis. Exp,400,,Cash
DCDEBIT20201700,2020-12-06,Petrol,200,,Cash
DCDEBIT20201701,2020-12-07,Daily House Hold,100,,Cash
DCDEBIT20201702,2020-12-05,House Electric Bill,450,,Phone Pe
DCDEBIT20201703,2020-12-08,Daily House Hold,100,,Cash
DCDEBIT20201704,2020-12-08,Petrol,200,,Phone Pe
DCDEBIT20201705,2020-12-09,Daily House Hold,100,,Cash
DCDEBIT20201706,2020-12-09,Mobile Recharges,150,,Phone Pe
DCDEBIT20201707,2020-12-10,Chit Fund ,6000,,Cash
DCDEBIT20201708,2020-12-12,Personal Mis. Exp,3000,,Phone Pe
DCDEBIT20201709,2020-12-14,Office Rent,2700,,Cash
DCDEBIT20201710,2020-12-14,Office Electric Bill,302,,Phone Pe
DCDEBIT20201711,2020-12-15,Cylinder Refill,710,,Cash
DCDEBIT20201712,2020-12-15,Daily House Hold,100,,Cash
DCDEBIT20201713,2020-12-15,Aadhar Update Payment Fee,50,,Phone Pe
DCDEBIT20201714,2020-12-16,House Rent,7500,,Phone Pe
DCDEBIT20201715,2020-12-16,Daily House Hold,100,,Cash
DCDEBIT20201716,2020-12-16,Caste & Income Fee,650,,Phone Pe
DCDEBIT20201717,2020-12-17,House Ration,280,,Cash
DCDEBIT20201718,2020-12-17,Daily House Hold,150,,Cash
DCDEBIT20201719,2020-12-18,Bandhan Bank Weekly Loan,530,,Cash
